compatibility_id,stroller_model,car_seat_brand,car_seat_model,audit_action,consumer_compatibility_status,consumer_status_basis,lineage_hypothesis_type,lineage_anchor_model,lineage_anchor_compatibility_id,anchor_adapter_name,anchor_adapter_sku,anchor_manufacturer_source_url,lineage_source_url,lineage_validation_result,rejection_reason
cms99ygfi00a8i76b19a9y4v0,Urban Glide 3,Cybex,Aton G2,VERIFY,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cms99ygfi00a6i76bbko5nz1b,Urban Glide 3,Cybex,Aton G2 Swivel,VERIFY,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmqx8i43z002nbcx5tuz077m9,Urban Glide 3,Maxi-Cosi,Mico Pro,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Maxi-Cosi Mico Luxe,cmqx8i41l002lbcx534ad5uuc,Thule UG3 car seat adapter – Maxi-Cosi,20110761,https://www.thule.com/-/s/approved/std.lang.all/61/11/1476111.pdf,,VALID_CANDIDATE_SOURCE_NOT_FOUND,"Mico Pro is a real current Maxi-Cosi seat (IC418) — NOT a nonexistent/mislabel. But no first-party stroller adapter/document names Mico Pro as sharing the stroller-side attachment with the KEEP anchor Mico Luxe (the Zelia adapter lists Mico XP/XP Max/Mico Luxe, not Mico Pro). Shared vehicle base (IC385) is rejected as stroller-attachment proof. Source-pending."
cms99z69h00aji76b171gsx82,Urban Glide 3,Maxi-Cosi,Mico XP,REMOVE,SHOULD_WORK_UNVERIFIED,DOCUMENTED_SHARED_ATTACHMENT_PLATFORM,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Maxi-Cosi Mico Luxe,cmqx8i41l002lbcx534ad5uuc,Thule UG3 car seat adapter – Maxi-Cosi,20110761,https://www.thule.com/-/s/approved/std.lang.all/61/11/1476111.pdf,https://maxicosi.com/products/zelia-stroller-car-seat-adapter-tr42718,PROMOTED_SHOULD_WORK,
cmr0r9rb5000nrvv0mumjgooy,Urban Glide 3,Nuna,PIPA urbn,REMOVE,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Nuna PIPA Aire,cmr0r9qxl000hrvv0z0cpw1zm,Thule UG3 car seat adapter – Maxi-Cosi,20110761,https://www.thule.com/-/s/approved/std.lang.all/61/11/1476111.pdf,https://nunababy.com/usa/pipa-urbn,PROMOTED_SHOULD_WORK,
cms94m2g0006si76b1t0ucwpp,Urban Glide 3 Double,Cybex,Aton G2,VERIFY,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cms94m2gi006ui76bmi2no5ih,Urban Glide 3 Double,Cybex,Aton G2 Swivel,VERIFY,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmqx8i38h001zbcx5hqmhgcv6,Urban Glide 3 Double,Maxi-Cosi,Mico Pro,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Maxi-Cosi Mico Luxe,cmqx8i360001xbcx52ba7sa06,Thule UG3 car seat adapter double – Maxi-Cosi,20110763,https://www.thule.com/-/s/approved/std.lang.all/61/14/1476114.pdf,,VALID_CANDIDATE_SOURCE_NOT_FOUND,"Mico Pro is a real current Maxi-Cosi seat (IC418) — NOT a nonexistent/mislabel. But no first-party stroller adapter/document names Mico Pro as sharing the stroller-side attachment with the KEEP anchor Mico Luxe (the Zelia adapter lists Mico XP/XP Max/Mico Luxe, not Mico Pro). Shared vehicle base (IC385) is rejected as stroller-attachment proof. Source-pending."
cms94nskg0076i76bfyoihqfh,Urban Glide 3 Double,Maxi-Cosi,Mico XP,REMOVE,SHOULD_WORK_UNVERIFIED,DOCUMENTED_SHARED_ATTACHMENT_PLATFORM,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Maxi-Cosi Mico Luxe,cmqx8i360001xbcx52ba7sa06,Thule UG3 car seat adapter double – Maxi-Cosi,20110763,https://www.thule.com/-/s/approved/std.lang.all/61/14/1476114.pdf,https://maxicosi.com/products/zelia-stroller-car-seat-adapter-tr42718,PROMOTED_SHOULD_WORK,
cmr0r9ruu000vrvv0r5j8ef1l,Urban Glide 3 Double,Nuna,PIPA urbn,REMOVE,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Nuna PIPA Aire,cmr0r9rfv000prvv0nmwhyqan,Thule UG3 car seat adapter double – Maxi-Cosi,20110763,https://www.thule.com/-/s/approved/std.lang.all/61/14/1476114.pdf,https://nunababy.com/usa/pipa-urbn,PROMOTED_SHOULD_WORK,
cms6o9nnz001713vzwwladl04,Urban Glide 4-wheel,Cybex,Aton G2,VERIFY,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cms6o9nnk000z13vz7risg1dm,Urban Glide 4-wheel,Cybex,Aton G2 Swivel,VERIFY,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cms6oaqoo001v13vzcjq41rhv,Urban Glide 4-wheel,Maxi-Cosi,Mico Pro,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Maxi-Cosi Mico Luxe,cms6oaqoe001f13vz1tieocaw,Thule UG3 car seat adapter – Maxi-Cosi,20110761,https://www.thule.com/-/s/approved/std.lang.all/61/11/1476111.pdf,,VALID_CANDIDATE_SOURCE_NOT_FOUND,"Mico Pro is a real current Maxi-Cosi seat (IC418) — NOT a nonexistent/mislabel. But no first-party stroller adapter/document names Mico Pro as sharing the stroller-side attachment with the KEEP anchor Mico Luxe (the Zelia adapter lists Mico XP/XP Max/Mico Luxe, not Mico Pro). Shared vehicle base (IC385) is rejected as stroller-attachment proof. Source-pending."
cms6oaqoe001h13vzrrtqau33,Urban Glide 4-wheel,Maxi-Cosi,Mico XP,REMOVE,SHOULD_WORK_UNVERIFIED,DOCUMENTED_SHARED_ATTACHMENT_PLATFORM,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Maxi-Cosi Mico Luxe,cms6oaqoe001f13vz1tieocaw,Thule UG3 car seat adapter – Maxi-Cosi,20110761,https://www.thule.com/-/s/approved/std.lang.all/61/11/1476111.pdf,https://maxicosi.com/products/zelia-stroller-car-seat-adapter-tr42718,PROMOTED_SHOULD_WORK,
cmr0r9sd40013rvv020p8fk1w,Urban Glide 4-wheel,Nuna,PIPA urbn,REMOVE,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Nuna PIPA Aire,cmr0r9rze000xrvv0dah4pos7,Thule UG3 car seat adapter – Maxi-Cosi,20110761,https://www.thule.com/-/s/approved/std.lang.all/61/11/1476111.pdf,https://nunababy.com/usa/pipa-urbn,PROMOTED_SHOULD_WORK,
cmqx4rciy002d70o083je6fxh,All-Terrain Cruiser,Cybex,Aton G2,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmrmtwev0000b11u5g840t1vj,All-Terrain Cruiser,Cybex,Aton G2 Swivel,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmqt253os0025fvq8rtsm33ju,All-Terrain Cruiser,Maxi-Cosi,Mico Luxe,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmqt253k80021fvq81fv6kyx1,All-Terrain Cruiser,Maxi-Cosi,Mico Pro,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmqt253vl002bfvq84s3zyv9s,All-Terrain Cruiser,Nuna,PIPA Aire,REMOVE,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Nuna PIPA Aire rx,cmqt253xv002dfvq8p8tfw123,Veer Cruiser ICS Adapter — Cybex/Maxi-Cosi/Nuna/Clek,,https://support.goveer.com/en-US/infant-car-seat-adapter-for-cybex-maxi-cosi-nuna-and-clek-479577,https://nunababy.com/usa/pipa-car-seat-adapter-for-uppababy-vista-cruz,PROMOTED_SHOULD_WORK,
cmqt25405002ffvq8esap2m9g,All-Terrain Cruiser,Nuna,PIPA urbn,REMOVE,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Nuna PIPA Aire rx,cmqt253xv002dfvq8p8tfw123,Veer Cruiser ICS Adapter — Cybex/Maxi-Cosi/Nuna/Clek,,https://support.goveer.com/en-US/infant-car-seat-adapter-for-cybex-maxi-cosi-nuna-and-clek-479577,https://nunababy.com/usa/pipa-urbn,PROMOTED_SHOULD_WORK,
cmqx8pgv70005gq0ce6yo0z0s,All-Terrain Cruiser,UPPAbaby,Aria V2,REMOVE,SHOULD_WORK_UNVERIFIED,DOCUMENTED_SHARED_ATTACHMENT_PLATFORM,SUSPECTED_SUCCESSOR_SAME_INTERFACE,UPPAbaby Aria,cmqx8pgsv0003gq0c0o1j8ux2,Veer Cruiser ICS Adapter — Graco/Britax/UPPAbaby,,https://support.goveer.com/en-US/infant-car-seat-adapter-for-graco-britax-and-uppababy-479257,https://uppababy.com/accessories/strollers-accessories/minu-mesa-bassinet-adapters/,PROMOTED_SHOULD_WORK,
cmqx8pgxj0007gq0c4pomnnz7,All-Terrain Cruiser,UPPAbaby,Mesa V3,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmqx8phln000rgq0ccpqp4dpt,Cruiser,Cybex,Aton G2,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmrmtwf69000l11u5p6h92r0f,Cruiser,Cybex,Aton G2 Swivel,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmqx8phbz000jgq0c2xi9mjq9,Cruiser,Maxi-Cosi,Mico Luxe,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmqx8phej000lgq0cxlb1rff0,Cruiser,Maxi-Cosi,Mico Pro,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmqx8phup000zgq0cqmqy5ieu,Cruiser,Nuna,PIPA Aire,REMOVE,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Nuna PIPA Aire rx,cmqx8phq5000vgq0cwcnswk7l,Veer Cruiser ICS Adapter — Cybex/Maxi-Cosi/Nuna/Clek,,https://support.goveer.com/en-US/infant-car-seat-adapter-for-cybex-maxi-cosi-nuna-and-clek-479577,https://nunababy.com/usa/pipa-car-seat-adapter-for-uppababy-vista-cruz,PROMOTED_SHOULD_WORK,
cmqx8phwz0011gq0cw56kywvk,Cruiser,Nuna,PIPA urbn,REMOVE,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Nuna PIPA Aire rx,cmqx8phq5000vgq0cwcnswk7l,Veer Cruiser ICS Adapter — Cybex/Maxi-Cosi/Nuna/Clek,,https://support.goveer.com/en-US/infant-car-seat-adapter-for-cybex-maxi-cosi-nuna-and-clek-479577,https://nunababy.com/usa/pipa-urbn,PROMOTED_SHOULD_WORK,
cmqx8ph4j000dgq0c0qu3a5sh,Cruiser,UPPAbaby,Aria V2,REMOVE,SHOULD_WORK_UNVERIFIED,DOCUMENTED_SHARED_ATTACHMENT_PLATFORM,SUSPECTED_SUCCESSOR_SAME_INTERFACE,UPPAbaby Aria,cmqx8ph2a000bgq0ccpdtlu9c,Veer Cruiser ICS Adapter — Graco/Britax/UPPAbaby,,https://support.goveer.com/en-US/infant-car-seat-adapter-for-graco-britax-and-uppababy-479257,https://uppababy.com/accessories/strollers-accessories/minu-mesa-bassinet-adapters/,PROMOTED_SHOULD_WORK,
cmqx8ph6v000fgq0cdss23blr,Cruiser,UPPAbaby,Mesa V3,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmqzsb4bl004512dxfl6bwx1l,Cruiser City,Cybex,Aton G2,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmrmtwesn000911u5cl0cfhej,Cruiser City,Cybex,Aton G2 Swivel,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmqzsb41w003x12dx8hfos8i5,Cruiser City,Maxi-Cosi,Mico Luxe,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmqzsb44c003z12dxf6i8h3bo,Cruiser City,Maxi-Cosi,Mico Pro,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmqzsb4ks004d12dx81kxlfd3,Cruiser City,Nuna,PIPA Aire,REMOVE,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Nuna PIPA Aire rx,cmqzsb4g8004912dxp3m3n8mf,Veer Cruiser ICS Adapter — Cybex/Maxi-Cosi/Nuna/Clek,,https://support.goveer.com/en-US/infant-car-seat-adapter-for-cybex-maxi-cosi-nuna-and-clek-479577,https://nunababy.com/usa/pipa-car-seat-adapter-for-uppababy-vista-cruz,PROMOTED_SHOULD_WORK,
cmqzsb4n2004f12dxvkyl81sb,Cruiser City,Nuna,PIPA urbn,REMOVE,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Nuna PIPA Aire rx,cmqzsb4g8004912dxp3m3n8mf,Veer Cruiser ICS Adapter — Cybex/Maxi-Cosi/Nuna/Clek,,https://support.goveer.com/en-US/infant-car-seat-adapter-for-cybex-maxi-cosi-nuna-and-clek-479577,https://nunababy.com/usa/pipa-urbn,PROMOTED_SHOULD_WORK,
cmqzsb3ug003r12dxk29lqd57,Cruiser City,UPPAbaby,Aria V2,REMOVE,SHOULD_WORK_UNVERIFIED,DOCUMENTED_SHARED_ATTACHMENT_PLATFORM,SUSPECTED_SUCCESSOR_SAME_INTERFACE,UPPAbaby Aria,cmqzsb3s3003p12dx12rbtzit,Veer Cruiser ICS Adapter — Graco/Britax/UPPAbaby,,https://support.goveer.com/en-US/infant-car-seat-adapter-for-graco-britax-and-uppababy-479257,https://uppababy.com/accessories/strollers-accessories/minu-mesa-bassinet-adapters/,PROMOTED_SHOULD_WORK,
cmqzsb3x3003t12dxr9wp75z5,Cruiser City,UPPAbaby,Mesa V3,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmqzsb72q006d12dx4rz5xfdl,Cruiser City XL Essentials,Cybex,Aton G2,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmrmtwexa000d11u5atu07vw5,Cruiser City XL Essentials,Cybex,Aton G2 Swivel,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmqzsb6tg006512dxcmpqn65i,Cruiser City XL Essentials,Maxi-Cosi,Mico Luxe,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmqzsb6vp006712dx59atcsbh,Cruiser City XL Essentials,Maxi-Cosi,Mico Pro,REMOVE,UNKNOWN,NONE,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmqzsb7by006l12dxcbldrxvm,Cruiser City XL Essentials,Nuna,PIPA Aire,REMOVE,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Nuna PIPA Aire rx,cmqzsb77c006h12dxi6c1f037,Veer Cruiser ICS Adapter — Cybex/Maxi-Cosi/Nuna/Clek,,https://support.goveer.com/en-US/infant-car-seat-adapter-for-cybex-maxi-cosi-nuna-and-clek-479577,https://nunababy.com/usa/pipa-car-seat-adapter-for-uppababy-vista-cruz,PROMOTED_SHOULD_WORK,
cmqzsb7ea006n12dxkr47vvcm,Cruiser City XL Essentials,Nuna,PIPA urbn,REMOVE,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Nuna PIPA Aire rx,cmqzsb77c006h12dxi6c1f037,Veer Cruiser ICS Adapter — Cybex/Maxi-Cosi/Nuna/Clek,,https://support.goveer.com/en-US/infant-car-seat-adapter-for-cybex-maxi-cosi-nuna-and-clek-479577,https://nunababy.com/usa/pipa-urbn,PROMOTED_SHOULD_WORK,
cmqzsb6ky005z12dxj0fq6gf0,Cruiser City XL Essentials,UPPAbaby,Aria V2,REMOVE,SHOULD_WORK_UNVERIFIED,DOCUMENTED_SHARED_ATTACHMENT_PLATFORM,SUSPECTED_SUCCESSOR_SAME_INTERFACE,UPPAbaby Aria,cmqzsb6i2005x12dx1l0y5qx8,Veer Cruiser ICS Adapter — Graco/Britax/UPPAbaby,,https://support.goveer.com/en-US/infant-car-seat-adapter-for-graco-britax-and-uppababy-479257,https://uppababy.com/accessories/strollers-accessories/minu-mesa-bassinet-adapters/,PROMOTED_SHOULD_WORK,
cmqzsb6nw006112dxbossqs5r,Cruiser City XL Essentials,UPPAbaby,Mesa V3,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmr0shgyb00h1h1u894gh0rkg,Switch&Jog,Nuna,PIPA Aire,REMOVE,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Nuna PIPA Aire rx,cmr0shh2v00h3h1u84p9dywlr,Veer Switchback ICS Adapter — Maxi-Cosi/Nuna/Clek/Cybex (also covers newer Britax Cypress/Willow family),,https://support.goveer.com/en-US/maxi-cosi-nuna-clek-and-cybex-infant-car-seat-adapter-for-veer-switchback-system-532224,https://nunababy.com/usa/pipa-car-seat-adapter-for-uppababy-vista-cruz,PROMOTED_SHOULD_WORK,
cmr0shhby00h7h1u866sbh0h4,Switch&Jog,Nuna,PIPA urbn,REMOVE,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Nuna PIPA Aire rx,cmr0shh2v00h3h1u84p9dywlr,Veer Switchback ICS Adapter — Maxi-Cosi/Nuna/Clek/Cybex (also covers newer Britax Cypress/Willow family),,https://support.goveer.com/en-US/maxi-cosi-nuna-clek-and-cybex-infant-car-seat-adapter-for-veer-switchback-system-532224,https://nunababy.com/usa/pipa-urbn,PROMOTED_SHOULD_WORK,
cmr49vrwd000z8smgx5k59wd6,Switch&Jog,UPPAbaby,Aria V2,REMOVE,SHOULD_WORK_UNVERIFIED,DOCUMENTED_SHARED_ATTACHMENT_PLATFORM,SUSPECTED_SUCCESSOR_SAME_INTERFACE,UPPAbaby Aria,cmr49vrrr000x8smgjf4me8pf,Veer Switchback ICS Adapter — UPPAbaby,,https://support.goveer.com/en-US/uppababy-infant-car-seat-adapter-for-veer-switchback-system-537495,https://uppababy.com/accessories/strollers-accessories/minu-mesa-bassinet-adapters/,PROMOTED_SHOULD_WORK,
cmr49vs5s00138smgv9x4zjet,Switch&Jog,UPPAbaby,Mesa V3,REMOVE,UNKNOWN,NONE,SUSPECTED_SUCCESSOR_SAME_INTERFACE,,,,,,,INVALID_ANCHOR,Absent from our KEEP/production catalogue: no in-dataset KEEP (MANUFACTURER_EXACT) row for this seat's carrier line on the same canonical stroller/adapter. NOTE: 'absent from our catalogue' != 'not a real product' (e.g. Cybex Aton G is a real legacy seat missing from the CarSeat table).
cmr0shi0d00hhh1u88xq6jwgh,Switch&Roll,Nuna,PIPA Aire,REMOVE,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,Nuna PIPA Aire rx,cmr0shi5100hjh1u8wf2io5r6,Veer Switchback ICS Adapter — Maxi-Cosi/Nuna/Clek/Cybex (also covers newer Britax Cypress/Willow family),,https://support.goveer.com/en-US/maxi-cosi-nuna-clek-and-cybex-infant-car-seat-adapter-for-veer-switchback-system-532224,https://nunababy.com/usa/pipa-car-seat-adapter-for-uppababy-vista-cruz,PROMOTED_SHOULD_WORK,
