compatibility_id,stroller_brand,stroller_model,car_seat_brand,car_seat_model,production_compatibility_type,audit_action,audit_confidence,reason,evidence_type,source_type,manufacturer_source_url,source_name,source_date,compatibility_type,adapter_required,adapter_status,adapter_name,adapter_sku,adapter_url,adapter_generation,adapter_revision,compatibility_position,max_infant_car_seats,notes,consumer_compatibility_status,consumer_status_basis,lineage_anchor_model,lineage_source_url,lineage_hypothesis_type,lineage_anchor_compatibility_id
cms94su7e008ii76brttdh9az,Thule,Shine,Chicco,KeyFit 30 ClearTex,ADAPTER,KEEP_UPDATE,HIGH,On Thule Thule Shine car seat adapter – Chicco (11400503) current exact fit list for this chassis.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/en-us/strollers/strollers-accessories/thule-shine-car-seat-adapter-chicco-_-11400503,Thule Shine car seat adapter – Chicco,2023,ADAPTER,true,SOLD_SEPARATELY,Thule Shine car seat adapter – Chicco,11400503,https://www.thule.com/en-us/strollers/strollers-accessories/thule-shine-car-seat-adapter-chicco-_-11400503,,,,,,COMPATIBLE_WITH_ADAPTER,MANUFACTURER_EXACT,,https://www.thule.com/en-us/strollers/strollers-accessories/thule-shine-car-seat-adapter-chicco-_-11400503,NONE,
cms94su7e008li76bz0ld8msa,Thule,Shine,Chicco,KeyFit Max ClearTex,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Shine (adapter 11400502).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,Thule Shine car seat adapter – Maxi-Cosi,2023,,,,,11400502,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,,,,,,UNKNOWN,NONE,,,NONE,
cms94su7e008ji76b5gtercdp,Thule,Shine,Chicco,KeyFit Max Zip ClearLux,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Shine (adapter 11400502).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,Thule Shine car seat adapter – Maxi-Cosi,2023,,,,,11400502,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,,,,,,UNKNOWN,NONE,,,NONE,
cms94su7e008ki76btr60btno,Thule,Shine,Chicco,KeyFit Max Zip ClearTex,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Shine (adapter 11400502).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,Thule Shine car seat adapter – Maxi-Cosi,2023,,,,,11400502,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,,,,,,UNKNOWN,NONE,,,NONE,
cms94r0w80085i76blh6as5oo,Thule,Shine,Clek,Liing,ADAPTER,KEEP_UPDATE,HIGH,On Thule Thule Shine car seat adapter – Maxi-Cosi (11400502) current exact fit list for this chassis.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,Thule Shine car seat adapter – Maxi-Cosi,2023,ADAPTER,true,SOLD_SEPARATELY,Thule Shine car seat adapter – Maxi-Cosi,11400502,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,,,,,,COMPATIBLE_WITH_ADAPTER,MANUFACTURER_EXACT,,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,NONE,
cms94r0w70081i76byiyu4of5,Thule,Shine,Clek,Liingo,ADAPTER,KEEP_UPDATE,HIGH,On Thule Thule Shine car seat adapter – Maxi-Cosi (11400502) current exact fit list for this chassis.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,Thule Shine car seat adapter – Maxi-Cosi,2023,ADAPTER,true,SOLD_SEPARATELY,Thule Shine car seat adapter – Maxi-Cosi,11400502,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,,,,,,COMPATIBLE_WITH_ADAPTER,MANUFACTURER_EXACT,,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,NONE,
cms94r0wp008bi76bdmkiuh3f,Thule,Shine,Cybex,Aton G2,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Shine (adapter 11400502).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,Thule Shine car seat adapter – Maxi-Cosi,2023,,,,,11400502,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,,,,,,UNKNOWN,NONE,,,SUSPECTED_SUCCESSOR_SAME_INTERFACE,
cms94r0w80083i76bviniba0o,Thule,Shine,Cybex,Aton G2 Swivel,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Shine (adapter 11400502).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,Thule Shine car seat adapter – Maxi-Cosi,2023,,,,,11400502,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,,,,,,UNKNOWN,NONE,,,SUSPECTED_SUCCESSOR_SAME_INTERFACE,
cms94r0wb0089i76bc4261fcl,Thule,Shine,Cybex,Cloud G Pro Comfort Extend,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Shine (adapter 11400502).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,Thule Shine car seat adapter – Maxi-Cosi,2023,,,,,11400502,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
cms94r0w80087i76bxkjh3pof,Thule,Shine,Cybex,Cloud T,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Shine (adapter 11400502).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,Thule Shine car seat adapter – Maxi-Cosi,2023,,,,,11400502,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
cms94q13o007ji76b1brh2vk9,Thule,Shine,Maxi-Cosi,Ambra,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Shine (adapter 11400502).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,Thule Shine car seat adapter – Maxi-Cosi,2023,,,,,11400502,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,,,,,,UNKNOWN,NONE,,,NONE,
cms94q13p007li76bzqtqsc3c,Thule,Shine,Maxi-Cosi,Mico Luxe,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Shine (adapter 11400502).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,Thule Shine car seat adapter – Maxi-Cosi,2023,,,,,11400502,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
cms94q171007zi76b01u709ct,Thule,Shine,Maxi-Cosi,Mico Pro,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Shine (adapter 11400502).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,Thule Shine car seat adapter – Maxi-Cosi,2023,,,,,11400502,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
cms94q13q007pi76bnv9dk212,Thule,Shine,Maxi-Cosi,Mico XP,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Shine (adapter 11400502).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,Thule Shine car seat adapter – Maxi-Cosi,2023,,,,,11400502,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
cms94q13r007ri76bnzjowwiu,Thule,Shine,Maxi-Cosi,Peri 180,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Shine (adapter 11400502).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,Thule Shine car seat adapter – Maxi-Cosi,2023,,,,,11400502,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,,,,,,UNKNOWN,NONE,,,NONE,
cmr1eu3el0009ab5gae25ss1h,Thule,Shine,Nuna,PIPA Aire,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Shine (adapter 11400502).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,Thule Shine car seat adapter – Maxi-Cosi,2023,,,,,11400502,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,,,,,,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,Nuna PIPA RX,https://nunababy.com/usa/pipa-car-seat-adapter-for-uppababy-vista-cruz,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,cmr1eu3py000dab5guf7fmm9d
cmr1eu3ka000bab5gq51keve8,Thule,Shine,Nuna,PIPA Aire rx,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Shine (adapter 11400502).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,Thule Shine car seat adapter – Maxi-Cosi,2023,,,,,11400502,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,,,,,,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,Nuna PIPA RX,https://nunababy.com/usa/pipa-car-seat-adapter-for-uppababy-vista-cruz,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,cmr1eu3py000dab5guf7fmm9d
cmr1eu3py000dab5guf7fmm9d,Thule,Shine,Nuna,PIPA RX,ADAPTER,KEEP_UPDATE,HIGH,On Thule Thule Shine car seat adapter – Maxi-Cosi (11400502) current exact fit list for this chassis.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,Thule Shine car seat adapter – Maxi-Cosi,2023,ADAPTER,true,SOLD_SEPARATELY,Thule Shine car seat adapter – Maxi-Cosi,11400502,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,,,,,,COMPATIBLE_WITH_ADAPTER,MANUFACTURER_EXACT,,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,NONE,
cmr1eu3vj000fab5gfnv7cuwv,Thule,Shine,Nuna,PIPA urbn,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Shine (adapter 11400502).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,Thule Shine car seat adapter – Maxi-Cosi,2023,,,,,11400502,https://www.thule.com/-/s/approved/std.lang.all/51/50/1205150.pdf,,,,,,SHOULD_WORK_UNVERIFIED,MANUFACTURER_PLATFORM_GROUP,Nuna PIPA RX,https://nunababy.com/usa/pipa-urbn,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,cmr1eu3py000dab5guf7fmm9d
cmqx4rflr004z70o00jbzswc0,Thule,Sleek,Maxi-Cosi,Ambra,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Sleek (adapter 11000300).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/30/95/643095.pdf,Thule Sleek car seat adapter – Maxi-Cosi,rev 4.3,,,,,11000300,https://www.thule.com/-/s/approved/std.lang.all/30/95/643095.pdf,,,single; 2nd seat needs Sleek Adapter Kit,,,UNKNOWN,NONE,,,NONE,
thule-sleek__maxi-cosi-mico-luxe,Thule,Sleek,Maxi-Cosi,Mico Luxe,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Sleek (adapter 11000300).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/30/95/643095.pdf,Thule Sleek car seat adapter – Maxi-Cosi,rev 4.3,,,,,11000300,https://www.thule.com/-/s/approved/std.lang.all/30/95/643095.pdf,,,single; 2nd seat needs Sleek Adapter Kit,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
thule-sleek__maxi-cosi-mico-pro,Thule,Sleek,Maxi-Cosi,Mico Pro,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Sleek (adapter 11000300).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/30/95/643095.pdf,Thule Sleek car seat adapter – Maxi-Cosi,rev 4.3,,,,,11000300,https://www.thule.com/-/s/approved/std.lang.all/30/95/643095.pdf,,,single; 2nd seat needs Sleek Adapter Kit,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
thule-sleek__maxi-cosi-peri,Thule,Sleek,Maxi-Cosi,Peri 180,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Sleek (adapter 11000300).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/30/95/643095.pdf,Thule Sleek car seat adapter – Maxi-Cosi,rev 4.3,,,,,11000300,https://www.thule.com/-/s/approved/std.lang.all/30/95/643095.pdf,,,single; 2nd seat needs Sleek Adapter Kit,,,UNKNOWN,NONE,,,NONE,
thule-sleek__nuna-pipa-lite-rx,Thule,Sleek,Nuna,PIPA Aire,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Sleek (adapter 11000300).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/30/95/643095.pdf,Thule Sleek car seat adapter – Maxi-Cosi,rev 4.3,,,,,11000300,https://www.thule.com/-/s/approved/std.lang.all/30/95/643095.pdf,,,single; 2nd seat needs Sleek Adapter Kit,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
thule-sleek__nuna-pipa-aire-rx,Thule,Sleek,Nuna,PIPA Aire rx,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Sleek (adapter 11000300).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/30/95/643095.pdf,Thule Sleek car seat adapter – Maxi-Cosi,rev 4.3,,,,,11000300,https://www.thule.com/-/s/approved/std.lang.all/30/95/643095.pdf,,,single; 2nd seat needs Sleek Adapter Kit,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
thule-sleek__nuna-pipa-rx,Thule,Sleek,Nuna,PIPA RX,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Sleek (adapter 11000300).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/30/95/643095.pdf,Thule Sleek car seat adapter – Maxi-Cosi,rev 4.3,,,,,11000300,https://www.thule.com/-/s/approved/std.lang.all/30/95/643095.pdf,,,single; 2nd seat needs Sleek Adapter Kit,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
thule-sleek__nuna-pipa-urbn,Thule,Sleek,Nuna,PIPA urbn,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Sleek (adapter 11000300).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/30/95/643095.pdf,Thule Sleek car seat adapter – Maxi-Cosi,rev 4.3,,,,,11000300,https://www.thule.com/-/s/approved/std.lang.all/30/95/643095.pdf,,,single; 2nd seat needs Sleek Adapter Kit,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
thule-sleek__uppababy-aria,Thule,Sleek,UPPAbaby,Aria,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Sleek (adapter 11000300).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/30/95/643095.pdf,Thule Sleek car seat adapter – Maxi-Cosi,rev 4.3,,,,,11000300,https://www.thule.com/-/s/approved/std.lang.all/30/95/643095.pdf,,,single; 2nd seat needs Sleek Adapter Kit,,,UNKNOWN,NONE,,,NONE,
thule-sleek__uppababy-aria-v2,Thule,Sleek,UPPAbaby,Aria V2,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Sleek (adapter 11000300).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/30/95/643095.pdf,Thule Sleek car seat adapter – Maxi-Cosi,rev 4.3,,,,,11000300,https://www.thule.com/-/s/approved/std.lang.all/30/95/643095.pdf,,,single; 2nd seat needs Sleek Adapter Kit,,,UNKNOWN,NONE,,,NONE,
thule-sleek__uppababy-mesa-v3,Thule,Sleek,UPPAbaby,Mesa V3,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Sleek (adapter 11000300).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/30/95/643095.pdf,Thule Sleek car seat adapter – Maxi-Cosi,rev 4.3,,,,,11000300,https://www.thule.com/-/s/approved/std.lang.all/30/95/643095.pdf,,,single; 2nd seat needs Sleek Adapter Kit,,,UNKNOWN,NONE,,,NONE,
cms9521j6009pi76bi1y5b7cv,Thule,Spring 2,Chicco,KeyFit 30,ADAPTER,KEEP_UPDATE,HIGH,On Thule Thule Spring car seat adapter – Chicco (11300411) current exact fit list for this chassis.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/en-us/strollers/strollers-accessories/thule-spring-car-seat-adapter-chicco-_-11300411,Thule Spring car seat adapter – Chicco,rev,ADAPTER,true,SOLD_SEPARATELY,Thule Spring car seat adapter – Chicco,11300411,https://www.thule.com/en-us/strollers/strollers-accessories/thule-spring-car-seat-adapter-chicco-_-11300411,,,,,,COMPATIBLE_WITH_ADAPTER,MANUFACTURER_EXACT,,https://www.thule.com/en-us/strollers/strollers-accessories/thule-spring-car-seat-adapter-chicco-_-11300411,NONE,
cms9521j6009ri76b01klzb9h,Thule,Spring 2,Chicco,KeyFit 30 ClearTex,ADAPTER,KEEP_UPDATE,HIGH,On Thule Thule Spring car seat adapter – Chicco (11300411) current exact fit list for this chassis.,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/en-us/strollers/strollers-accessories/thule-spring-car-seat-adapter-chicco-_-11300411,Thule Spring car seat adapter – Chicco,rev,ADAPTER,true,SOLD_SEPARATELY,Thule Spring car seat adapter – Chicco,11300411,https://www.thule.com/en-us/strollers/strollers-accessories/thule-spring-car-seat-adapter-chicco-_-11300411,,,,,,COMPATIBLE_WITH_ADAPTER,MANUFACTURER_EXACT,,https://www.thule.com/en-us/strollers/strollers-accessories/thule-spring-car-seat-adapter-chicco-_-11300411,NONE,
cms9521j6009qi76bvldd1pk5,Thule,Spring 2,Chicco,KeyFit Max ClearTex,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Spring 2 (adapter 11300410).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,Thule Spring car seat adapter – Maxi-Cosi,rev 3.1,,,,,11300410,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,,,,,,UNKNOWN,NONE,,,NONE,
cms9521j6009ni76b9qcqj16f,Thule,Spring 2,Chicco,KeyFit Max Zip ClearLux,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Spring 2 (adapter 11300410).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,Thule Spring car seat adapter – Maxi-Cosi,rev 3.1,,,,,11300410,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,,,,,,UNKNOWN,NONE,,,NONE,
cms9521j9009ti76b3akum117,Thule,Spring 2,Chicco,KeyFit Max Zip ClearTex,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Spring 2 (adapter 11300410).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,Thule Spring car seat adapter – Maxi-Cosi,rev 3.1,,,,,11300410,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,,,,,,UNKNOWN,NONE,,,NONE,
cms950c77009ei76bvb8nnisu,Thule,Spring 2,Clek,Liing,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Spring 2 (adapter 11300410).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,Thule Spring car seat adapter – Maxi-Cosi,rev 3.1,,,,,11300410,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,,,,,,UNKNOWN,NONE,,,NONE,
cms950c77009hi76bwx6h0oyo,Thule,Spring 2,Clek,Liingo,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Spring 2 (adapter 11300410).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,Thule Spring car seat adapter – Maxi-Cosi,rev 3.1,,,,,11300410,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,,,,,,UNKNOWN,NONE,,,NONE,
cms950c77009fi76bxkjwt0ef,Thule,Spring 2,Cybex,Aton G2,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Spring 2 (adapter 11300410).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,Thule Spring car seat adapter – Maxi-Cosi,rev 3.1,,,,,11300410,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,,,,,,UNKNOWN,NONE,,,SUSPECTED_SUCCESSOR_SAME_INTERFACE,
cms950c7o009ji76bqwh09ouz,Thule,Spring 2,Cybex,Aton G2 Swivel,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Spring 2 (adapter 11300410).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,Thule Spring car seat adapter – Maxi-Cosi,rev 3.1,,,,,11300410,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,,,,,,UNKNOWN,NONE,,,SUSPECTED_SUCCESSOR_SAME_INTERFACE,
cms950c77009gi76bjy5myo6e,Thule,Spring 2,Cybex,Cloud G Pro Comfort Extend,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Spring 2 (adapter 11300410).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,Thule Spring car seat adapter – Maxi-Cosi,rev 3.1,,,,,11300410,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
cms950c77009di76bjdt8cdky,Thule,Spring 2,Cybex,Cloud T,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Spring 2 (adapter 11300410).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,Thule Spring car seat adapter – Maxi-Cosi,rev 3.1,,,,,11300410,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
cms94zasx008vi76b5tkwlqal,Thule,Spring 2,Maxi-Cosi,Ambra,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Spring 2 (adapter 11300410).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,Thule Spring car seat adapter – Maxi-Cosi,rev 3.1,,,,,11300410,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,,,,,,UNKNOWN,NONE,,,NONE,
cms94zat5008xi76bby1a97bs,Thule,Spring 2,Maxi-Cosi,Mico Luxe,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Spring 2 (adapter 11300410).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,Thule Spring car seat adapter – Maxi-Cosi,rev 3.1,,,,,11300410,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
cms94zatc0093i76b2binf5tk,Thule,Spring 2,Maxi-Cosi,Mico Pro,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Spring 2 (adapter 11300410).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,Thule Spring car seat adapter – Maxi-Cosi,rev 3.1,,,,,11300410,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
cms94zatt0097i76b8aeya0ll,Thule,Spring 2,Maxi-Cosi,Mico XP,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Spring 2 (adapter 11300410).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,Thule Spring car seat adapter – Maxi-Cosi,rev 3.1,,,,,11300410,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,,,,,,UNKNOWN,NONE,,,SUSPECTED_SHARED_ATTACHMENT_PLATFORM,
cms94zasw008ri76b3qyoaoa7,Thule,Spring 2,Maxi-Cosi,Peri 180,ADAPTER,REMOVE,HIGH,Not on Thule's current exact fit list for Spring 2 (adapter 11300410).,MANUFACTURER_EXACT_MODEL,MANUFACTURER_EXACT_MODEL,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,Thule Spring car seat adapter – Maxi-Cosi,rev 3.1,,,,,11300410,https://www.thule.com/-/s/approved/std.lang.all/38/59/783859.pdf,,,,,,UNKNOWN,NONE,,,NONE,
